Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Natural killer cell	301/9530	0.6679435263847093	0.8635974958028702	0	0	0.9687774956475651	0.3909517571997835	VARS;EHMT2;FCF1;THYN1;ZDHHC7;PALM2-AKAP2;PWP1;TXNDC17;C4B;C4A;CNST;ZXDC;FAM65B;AP1S3;C19ORF55;VSTM4;SCN1B;MBNL1;ATP6V1G2;DNAAF1;SECISBP2;NFKBIL1;HLA-B;HLA-C;ACSL3;RUNX3;SRRM1;KRT9;ZC2HC1C;DDX39A;DDX39B;CSNK2B;SPATA19;CFB;ZNF277;NLRX1;ANP32A;TSHZ2;VPS26B;TXN;OAZ1;MED12L;ATP5L;KRT33B;KRT33A;RIC8B;NEU1;HLTF;C19ORF35;GSE1;HLA-DQA2;HLA-DQA1;HLA-DRB5;JUP;GADD45B;TMEM50A;MCAM;SLC33A1;PBX2;PRRC2B;PRRC2A;EIF1;SETX;ATP4A;RPS25;TDP2;GIPC1;ZNF30;PLCH1;HYOU1;PPT2;AVL9;HAMP;HLA-DRB1;CD22;C2CD2L;FARSB;CLIC4;SERPINA1;RPLP1;TECR;KRT23;CD3G;KRT20;CD3D;CASP14;SYNCRIP;IMMP2L;C14ORF1;UBXN4;CLIC1;HLA-DPA1;PSENEN;ACAD8;BRD2;RING1;KRT35;PAX3;KRT34;C6ORF62;KIF23;TEX15;FOS;KRT32;MED27;KRT31;MRPL44;AES;NCR3;ALDH5A1;KRT39;KRT38;KRT37;KRT36;CKS2;RAPGEF1;HLA-DQB2;HLA-DQB1;TNXB;MCCD1;COL11A2;TIMM13;DLST;CXCR4;CST7;AIF1;HSD17B8;AKAP2;RHD;RXRB;KIAA0513;PPP2CB;HLA-DMA;HLA-DMB;RNASEK-C17ORF49;EMC8;MICB;ADAD2;GINS2;HSPA1L;GSR;YLPM1;EMR2;KRT13;KRT12;PSMB8;PSMB9;ARCN1;BATF;C12ORF23;C6ORF48;KRT19;KRT17;KRT16;KRT15;KBTBD2;KRT14;HLA-DPB1;RIMBP2;ZNF217;NCAPD3;PKN1;LY6G5B;RAMP1;HSPA1B;HSPA1A;DPAGT1;PHLDB1;KCNG4;PRDM4;OGDHL;SYDE1;HPGDS;TMEM147;APMAP;CHCHD6;TEKT1;COTL1;IGFLR1;SMARCAD1;SLC39A7;KRTAP3-2;HLA-DOA;HLA-DOB;GYG1;CD97;TLE2;LMO4;TAP2;TAP1;ACOT13;UBE4A;ACYP1;COX6B1;C6ORF25;ILVBL;MSH5;GAPDHS;WDFY1;FAM92B;ZNF554;WDFY4;RHCE;FTO;DDX6;TMED10;NOTCH4;GMPS;C6ORF10;RHOBTB1;GTF2E2;KRT40;BAG6;TMEM25;ARHGAP21;PDZD3;MED31;KRTAP4-2;SMYD3;SLC15A4;BCL9L;UBE2F;NEK9;DARS;EIF2B2;TRAPPC4;OSBPL3;DCDC2;HPS3;C1ORF63;LSM5;QKI;LSM2;ARHGAP33;IGSF10;LSM7;HLA-DRA;SKIV2L;XAF1;PIWIL1;DOCK4;HSPB6;COX4I1;DMKN;LMNB2;ABHD16A;LRRFIP1;GPSM3;TSFM;CCDC37;H2AFX;C10ORF11;KCNAB1;LPHN1;SAPCD1;SYF2;DDAH2;CTDSP2;CRY1;IRF8;LCP2;MCM6;LCT;DOCK2;PFDN4;EGFL8;THOP1;OTUB2;NDUFB7;DDX24;USP10;PALM2;ATP2C2;AGPAT1;CBL;RNF5;THBS1;U2AF1L4;RAB21;DNAJB1;GNA15;NCLN;TAF1C;GNG7;GNA11;C3ORF33;SLIT2;ACSS1;PDLIM5;MBTPS1;SEMA4D;IRX3;SGTA;ZFC3H1;USF2;JSRP1;SYT10;LEPREL4;RBM42;SCLY;R3HDM1
Acute promyelocytic leukemia cell	1/34	0.6705167548713342	0.8635974958028702	0	0	0.9135819978253675	0.3651647431634973	ACOT13
Pheochromocytoma cell line	1/34	0.6705167548713342	0.8635974958028702	0	0	0.9135819978253675	0.3651647431634973	C10ORF11
Umbilical vein	1/34	0.6705167548713342	0.8635974958028702	0	0	0.9135819978253675	0.3651647431634973	TDP2
Conceptus	1/34	0.6705167548713342	0.8635974958028702	0	0	0.9135819978253675	0.3651647431634973	PGF
Decidua	1/34	0.6705167548713342	0.8635974958028702	0	0	0.9135819978253675	0.3651647431634973	HLA-C
Gastrula	1/34	0.6705167548713342	0.8635974958028702	0	0	0.9135819978253675	0.3651647431634973	ZNF503
Hip	3/107	0.672079078773296	0.8641016727085234	0	0	0.8691765980498375	0.3453927608488982	FTO;ATP4A;TNF
Brain cortex cell line	6/211	0.6745862869604453	0.8658168343944498	0	0	0.8814081914404049	0.34697134467979535	DDAH2;SGTA;HYOU1;TXN;LMNB2;HSPA1A
SH-SY5Y cell	2/72	0.6771496615642761	0.8675980038792288	0	0	0.8610714285714286	0.3356998599399683	PSENEN;TXN
