Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Masseter	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	C21ORF33
Ureter	2/28	0.13175333773823547	0.695001223340954	0	0	3.3295241344021833	6.748358618457419	GDNF;UPK3A
Neonate	4/87	0.13507773745025609	0.695001223340954	0	0	2.089140526471141	4.182260517400174	FCN2;CD79A;PAPPA;TRIM21
AtT-20 cell	2/29	0.13949270454268883	0.695001223340954	0	0	3.2060441816539376	6.315083008434686	PCSK2;NR3C1
smc1	2/29	0.13949270454268883	0.695001223340954	0	0	3.2060441816539376	6.315083008434686	NIPBL;SMC1B
Latex	2/29	0.13949270454268883	0.695001223340954	0	0	3.2060441816539376	6.315083008434686	CD79A;VWF
Artery	11/336	0.14314383813936368	0.695001223340954	0	0	1.4719248172641837	2.8612824433944484	CD79A;PTGIR;GDNF;PAPPA;AMD1;CALM3;HIF3A;HSPB3;ABCG1;FBLN5;FBN1
Mammary gland	13/412	0.1449480313628947	0.695001223340954	0	0	1.417885623148781	2.7384759422066915	NRP1;ARHGAP8;CMC2;NADSYN1;OVOL2;ATXN3;BFSP1;PRR5-ARHGAP8;PRKD2;AMPH;SLC24A5;EXOSC2;ZNF574
Urethra	2/30	0.14732745956583565	0.695001223340954	0	0	3.091384225530567	5.920302367450678	CD79A;UPK3A
Vascular tissue	2/30	0.14732745956583565	0.695001223340954	0	0	3.091384225530567	5.920302367450678	GPSM2;VWF
Gastric juice	2/30	0.14732745956583565	0.695001223340954	0	0	3.091384225530567	5.920302367450678	CD79A;TFF2
Pericarp	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	TAF13
Pharyngeal epithelium	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	RSPH1
Pharyngeal gland	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	FBLN1
Thymocyte	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	TRIM21
Plant vessel	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	UAP1
Prostate gland intraepithelial neoplasia cell line	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	OR51E2
Bm	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	IL7
Cardiac stomach	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	QRFP
Cystocyte	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	BICD1
Daphnid	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	REV3L
Eiii	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	EN1
Embryonic germ cell	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	KIAA1432
mnng/hos	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	C21ORF33
Hepatic primordium	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	DUT
Human amniotic epithelial cell	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	ITGB1
Leaf tip	1/7	0.148194502524979	0.695001223340954	0	0	7.205383480825959	13.756731866102179	C21ORF2
BTO:0000868	2/31	0.1552493384470096	0.695001223340954	0	0	2.984631852588118	5.55954185928971	LALBA;FOLR1
Hair follicle	2/32	0.16325040075692396	0.695001223340954	0	0	2.8849963045084994	5.2289694134835685	KRTAP5-9;DDR2
Cuticle	3/62	0.1656324466309901	0.695001223340954	0	0	2.2020338983050847	3.9592219862744837	KRTAP5-9;PPP2R3A;CNFN
Parotid acinar cell	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	MYRIP
Primary cell line	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	FAM118A
Reticulate body	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	CLPB
C6 glioma cell	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	GDNF
CHO-LY-B cell	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	STAG1
Subcommissural organ	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	COL11A1
Duckembryo	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	CMPK1
Endostyle	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	TRIP11
Floret	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	CALM3
